0ad: 48 total files, 0 missing files
lib32-libgcrypt: 7 total files, 0 missing files
lib32-libglvnd: 30 total files, 0 missing files
lib32-libgpg-error: 7 total files, 0 missing files
lib32-libice: 10 total files, 0 missing files
lib32-libidn2: 7 total files, 0 missing files
lib32-libjpeg-turbo: 21 total files, 0 missing files
lib32-libldap: 14 total files, 0 missing files
lib32-libltdl: 5 total files, 0 missing files
lib32-libnl: 45 total files, 0 missing files
lib32-libogg: 17 total files, 0 missing files
lib32-libpcap: 16 total files, 0 missing files
lib32-libpciaccess: 10 total files, 0 missing files
lib32-libpng: 17 total files, 0 missing files
lib32-libproxy: 11 total files, 0 missing files
lib32-libpsl: 10 total files, 0 missing files
lib32-libpulse: 22 total files, 0 missing files
lib32-librsvg: 11 total files, 0 missing files
lib32-libsm: 10 total files, 0 missing files
lib32-libsndfile: 20 total files, 0 missing files
lib32-libsoup: 11 total files, 0 missing files
lib32-libssh2: 10 total files, 0 missing files
lib32-libtasn1: 7 total files, 0 missing files
lib32-libthai: 7 total files, 0 missing files
lib32-libtiff: 20 total files, 0 missing files
lib32-libtirpc: 10 total files, 0 missing files
lib32-libunistring: 5 total files, 0 missing files
lib32-libunwind: 26 total files, 0 missing files
lib32-libusb: 15 total files, 0 missing files
lib32-libva: 27 total files, 0 missing files
lib32-libvorbis: 18 total files, 0 missing files
lib32-libx11: 14 total files, 0 missing files
lib32-libxau: 10 total files, 0 missing files
lib32-libxcb: 102 total files, 0 missing files
lib32-libxcomposite: 10 total files, 0 missing files
lib32-libxcrypt: 8 total files, 0 missing files
lib32-libxcursor: 10 total files, 0 missing files
lib32-libxdamage: 10 total files, 0 missing files
lib32-libxdmcp: 10 total files, 0 missing files
lib32-libxext: 10 total files, 0 missing files
lib32-libxfixes: 10 total files, 0 missing files
lib32-libxft: 10 total files, 0 missing files
lib32-libxi: 10 total files, 0 missing files
lib32-libxinerama: 10 total files, 0 missing files
lib32-libxkbcommon: 14 total files, 0 missing files
lib32-libxml2: 13 total files, 0 missing files
lib32-libxrandr: 10 total files, 0 missing files
lib32-libxrender: 10 total files, 0 missing files
lib32-libxshmfence: 10 total files, 0 missing files
lib32-libxslt: 17 total files, 0 missing files
lib32-libxss: 10 total files, 0 missing files
lib32-libxtst: 10 total files, 0 missing files
lib32-libxv: 10 total files, 0 missing files
lib32-libxxf86vm: 10 total files, 0 missing files
lib32-llvm-libs: 16 total files, 0 missing files
lib32-lm_sensors: 5 total files, 0 missing files
lib32-mesa: 53 total files, 0 missing files
lib32-mpg123: 19 total files, 0 missing files
lib32-ncurses: 45 total files, 0 missing files
lib32-nettle: 11 total files, 0 missing files
lib32-nspr: 8 total files, 0 missing files
lib32-nss: 15 total files, 0 missing files
lib32-ocl-icd: 12 total files, 0 missing files
lib32-openal: 11 total files, 0 missing files
lib32-openssl: 17 total files, 0 missing files
lib32-opus: 10 total files, 0 missing files
lib32-orc: 14 total files, 0 missing files
lib32-p11-kit: 15 total files, 0 missing files
lib32-pam: 59 total files, 0 missing files
lib32-pango: 21 total files, 0 missing files
lib32-pcre: 26 total files, 0 missing files
lib32-pixman: 10 total files, 0 missing files
lib32-readline: 10 total files, 0 missing files
lib32-rest: 11 total files, 0 missing files
lib32-sdl2: 20 total files, 0 missing files
lib32-sqlite: 10 total files, 0 missing files
lib32-systemd: 15 total files, 0 missing files
lib32-tdb: 7 total files, 0 missing files
lib32-util-linux: 23 total files, 0 missing files
lib32-v4l-utils: 32 total files, 0 missing files
lib32-vulkan-icd-loader: 11 total files, 0 missing files
lib32-vulkan-radeon: 10 total files, 0 missing files
lib32-wayland: 24 total files, 0 missing files
lib32-xz: 10 total files, 0 missing files
lib32-zlib: 10 total files, 0 missing files
lib32-zstd: 11 total files, 0 missing files
lib3mf-1: 220 total files, 0 missing files
libaacs: 19 total files, 0 missing files
libabw: 299 total files, 0 missing files
libaccounts-glib: 101 total files, 0 missing files
libaccounts-qt: 36 total files, 0 missing files
libaec: 23 total files, 0 missing files
libaio: 7 total files, 0 missing files
libao: 72 total files, 0 missing files
libappindicator-gtk3: 41 total files, 0 missing files
libarchive: 66 total files, 0 missing files
libass: 15 total files, 0 missing files
libassuan: 22 total files, 0 missing files
libasyncns: 15 total files, 0 missing files
libatasmart: 19 total files, 0 missing files
libatomic_ops: 91 total files, 0 missing files
libavc1394: 25 total files, 0 missing files
libavif: 26 total files, 0 missing files
libb64: 14 total files, 0 missing files
libblockdev: 100 total files, 0 missing files
libbluray: 26 total files, 0 missing files
libbs2b: 20 total files, 0 missing files
libbsd: 286 total files, 0 missing files
libbytesize: 112 total files, 0 missing files
libcaca: 36 total files, 0 missing files
libcanberra: 71 total files, 0 missing files
libcap: 102 total files, 0 missing files
libcap-ng: 50 total files, 0 missing files
libcbor: 40 total files, 0 missing files
libcddb: 21 total files, 0 missing files
libcdio: 87 total files, 0 missing files
libcdio-paranoia: 26 total files, 0 missing files
libcdr: 346 total files, 0 missing files
libcec: 25 total files, 0 missing files
libcloudproviders: 51 total files, 0 missing files
libcolord: 44 total files, 0 missing files
libconfig: 29 total files, 0 missing files
libcroco: 83 total files, 0 missing files
libcups: 30 total files, 0 missing files
libdaemon: 21 total files, 0 missing files
libdatrie: 21 total files, 0 missing files
libdbusmenu-glib: 25 total files, 0 missing files
libdbusmenu-gtk3: 23 total files, 0 missing files
libdbusmenu-qt5: 108 total files, 0 missing files
libdca: 23 total files, 0 missing files
libde265: 22 total files, 0 missing files
libdrm: 91 total files, 0 missing files
libdvbpsi: 88 total files, 0 missing files
libdvdnav: 21 total files, 0 missing files
libdvdread: 28 total files, 0 missing files
libe-book: 917 total files, 0 missing files
libebml: 45 total files, 0 missing files
libebur128: 13 total files, 0 missing files
libedit: 65 total files, 0 missing files
libelf: 43 total files, 0 missing files
libepoxy: 75 total files, 0 missing files
libepubgen: 240 total files, 0 missing files
libetonyek: 1347 total files, 0 missing files
libev: 15 total files, 0 missing files
libevdev: 26 total files, 0 missing files
libevent: 73 total files, 0 missing files
libexif: 112 total files, 0 missing files
libexttextcat: 205 total files, 0 missing files
libfbclient: 77 total files, 0 missing files
libfdk-aac: 19 total files, 0 missing files
libffi: 25 total files, 0 missing files
libfido2: 277 total files, 0 missing files
libfontenc: 15 total files, 0 missing files
libfreeaptx: 12 total files, 0 missing files
libfreehand: 250 total files, 0 missing files
libftdi: 57 total files, 0 missing files
libgcrypt: 24 total files, 0 missing files
libgdiplus: 15 total files, 0 missing files
libgexiv2: 63 total files, 0 missing files
libgit2: 107 total files, 0 missing files
libglade: 45 total files, 0 missing files
libglvnd: 58 total files, 0 missing files
libgme: 11 total files, 0 missing files
libgnome-keyring: 272 total files, 0 missing files
libgnomekbd: 274 total files, 0 missing files
libgpg-error: 97 total files, 0 missing files
libgphoto2: 226 total files, 0 missing files
libgtop: 372 total files, 0 missing files
libgudev: 46 total files, 0 missing files
libgusb: 60 total files, 0 missing files
libheif: 35 total files, 0 missing files
libibus: 210 total files, 0 missing files
libice: 24 total files, 0 missing files
libid3tag: 15 total files, 0 missing files
libidn: 163 total files, 0 missing files
libidn2: 127 total files, 0 missing files
libiec61883: 18 total files, 0 missing files
libieee1284: 54 total files, 0 missing files
libimagequant: 12 total files, 0 missing files
libimobiledevice: 77 total files, 0 missing files
libindicator-gtk3: 18 total files, 0 missing files
libinih: 16 total files, 0 missing files
libinput: 107 total files, 0 missing files
libinstpatch: 111 total files, 0 missing files
libixion: 52 total files, 0 missing files
libjpeg-turbo: 56 total files, 0 missing files
libksba: 16 total files, 0 missing files
liblangtag: 116 total files, 0 missing files
libldac: 15 total files, 0 missing files
libldap: 217 total files, 0 missing files
liblouis: 454 total files, 0 missing files
liblqr: 23 total files, 0 missing files
libluv: 13 total files, 0 missing files
libmad: 9 total files, 0 missing files
libmanette: 48 total files, 0 missing files
libmatroska: 46 total files, 0 missing files
libmaxminddb: 28 total files, 0 missing files
libmd: 101 total files, 0 missing files
libmediainfo: 20 total files, 0 missing files
libmfx: 42 total files, 0 missing files
libmicrohttpd: 17 total files, 0 missing files
libmikmod: 25 total files, 0 missing files
libmm-glib: 231 total files, 0 missing files
libmms: 14 total files, 0 missing files
libmng: 21 total files, 0 missing files
libmnl: 10 total files, 0 missing files
libmodplug: 17 total files, 0 missing files
libmpc: 10 total files, 0 missing files
libmpcdec: 18 total files, 0 missing files
libmpdclient: 65 total files, 0 missing files
libmpeg2: 24 total files, 0 missing files
libmspub: 401 total files, 0 missing files
libmtp: 38 total files, 0 missing files
libmusicbrainz5: 77 total files, 0 missing files
libmwaw: 20 total files, 0 missing files
libmypaint: 293 total files, 0 missing files
libnatpmp: 15 total files, 0 missing files
libndp: 15 total files, 0 missing files
libnest2d: 48 total files, 0 missing files
libnet: 25 total files, 0 missing files
